office_name,office_detail_url,location,Sales,Rent,Phone_Number
Birden Gayrimenkul,https://www.zingat.com//en/birden-gayrimenkul-39918g,"Kırklareli, Yıldız",13,1,0 (507) 629 41 30
KAMİL EMLAK REAL ESTATE,https://www.zingat.com//en/kamil-emlak-real-estate-27787g,"İstanbul, Etiler",5,1,0 (542) 210 07 55
Şakir Emlak Cihangir,https://www.zingat.com//en/sakir-emlak-cihangir-43023g,"İstanbul, Cihangir",10,1,0 (532) 707 37 52
3NUR GAYRİMENKUL DANIŞMANLIĞI,https://www.zingat.com//en/3nur-gayrimenkul-danismanligi-28490g,"Samsun, Liman",12,1,0 (535) 387 39 17
Talas Emlak,https://www.zingat.com//en/talas-emlak-4627g,"İstanbul, Arnavutköy Merkez",12,1,0 (533) 339 42 31
NM CONSULTANCY,https://www.zingat.com//en/nm-consultancy-78099g,"Antalya, Varlık",11,1,0 (532) 775 82 06
Horasan Gayrimenkul,https://www.zingat.com//en/horasan-gayrimenkul-28635g,"Konya, Hacıkaymak",11,1,0 (506) 770 05 70
İKİZLER GAYRİMENKUL,https://www.zingat.com//en/ikizler-gayrimenkul-4-38769g,"İstanbul, Altınşehir",20,1,0 (506) 999 00 36
REALTY WORLD CZM GAYRİMENKUL,https://www.zingat.com//en/realty-world-czm-gayrimenkul-2-42147g,"İstanbul, Suadiye",106,1,0 (554) 764 70 84
ONARAN EMLAK,https://www.zingat.com//en/onaran-emlak-37482g,"Adana, Burhaniye",9,1,0 (534) 480 51 14
UZMAN EMLAK,https://www.zingat.com//en/uzman-emlak-29-15811g,"Ankara, İncirli",10,1,0 (507) 574 82 66
EXTRA LİDER GAYRİMENKUL YATIRIM DANIŞMANLIĞI,https://www.zingat.com//en/extra-lider-gayrimenkul-yatirim-danismanligi-24869g,"Ankara, Prof. Dr. Ahmet Taner Kışlalı",10,1,0 (532) 301 97 04
GARANTİM EMLAK BEŞİKTAŞ,https://www.zingat.com//en/garantim-emlak-besiktas-35197g,"İstanbul, Sinanpaşa",7,1,0 (532) 236 24 28
BYFiL GAYRİMENKUL - EMLAK,https://www.zingat.com//en/byfil-gayrimenkul-emlak-68358g,"Konya, İhsaniye",9,1,0 (552) 320 03 45
HB GAYRİMENKUL,https://www.zingat.com//en/hb-gayrimenkul-20598g,"Aydın, Güzelhisar",54,1,0 (532) 599 93 33
Aktif52 Emlak Hizmetleri,https://www.zingat.com//en/aktif52-emlak-hizmetleri-2-53698g,"Ordu, Şarkiye",10,1,0 (532) 441 73 99
TURKUAZ GYO,https://www.zingat.com//en/turkuaz-gyo-49657g,"İstanbul, Kavaklı",11,1,0 (541) 822 10 10
Vatan Gayrimenkul İzmit,https://www.zingat.com//en/vatan-gayrimenkul-izmit-17527g,"Kocaeli, Ömerağa",0,1,0 (541) 893 75 50
YETİŞ AL GAYRİMENKUL,https://www.zingat.com//en/yetis-al-gayrimenkul-76205g,"İstanbul, Ahmetli",10,1,0 (532) 374 01 84
DİDİM CEM EMLAK,https://www.zingat.com//en/didim-cem-emlak-45730g,"Aydın, Efeler",10,1,0 (538) 054 94 60
APART GAYRİMENKUL,https://www.zingat.com//en/apart-gayrimenkul-61182g,"İstanbul, Suadiye",7,1,0 (532) 662 74 75
TUNAY GAYRİMENKUL,https://www.zingat.com//en/tunay-gayrimenkul-2-17271g,"İstanbul, Zekeriyaköy",5,1,0 (533) 423 58 49
SUN GROUP,https://www.zingat.com//en/sun-group-57296g,"İstanbul, Mehmet Akif Ersoy",0,1,0 (542) 599 31 61
TEKNOPARK EMLAK İSTANBUL PENDİK KURTKÖY YENİŞEHİR,https://www.zingat.com//en/teknopark-emlak-istanbul-pendik-kurtkoy-yenisehir-11829g,"İstanbul, Yenişehir",6,3,0 (532) 163 91 12
İPEK İNŞAAT TAAHÜT SAN.VETİC.LTD.ŞTİ,https://www.zingat.com//en/ipek-insaat-taahut-san-vetic-ltd-sti-38151g,"İstanbul, Cumhuriyet",5,3,0 (544) 339 40 01
ELVAN EMLAK,https://www.zingat.com//en/elvan-emlak-3-70932g,"İstanbul, Uğur Mumcu",5,3,0 (532) 412 84 04
DÖVEÇ CONSTRUCTION,https://www.zingat.com//en/dovec-construction-48446g,"K.K.T.C, Sakarya Mh.",9,3,0 (533) 820 55 15
BOREX GAYRİMENKUL & EMLAK BORSASI,https://www.zingat.com//en/borex-gayrimenkul-emlak-borsasi-2-34372g,"Trabzon, Kemerkaya",8,3,0 (532) 285 06 52
YENİ ROTA İNŞAAT EMLAK,https://www.zingat.com//en/yeni-rota-insaat-emlak-45043g,"Kahramanmaraş, Şehit Abdullah Çavuş",9,3,0 (553) 655 86 70
EMİN EMLAK GAYRİMENKUL EV- ARSA-ARAZİ-TARLA-ALIM-SATIM VE DANIŞMANLIK OFİSİ,https://www.zingat.com//en/emin-emlak-gayrimenkul-ev-arsa-arazi-tarla-alim-satim-ve-danismanlik-ofisi-29145g,"Adıyaman, Hürriyet",0,3,0 (536) 967 60 66
Doğru Emlak,https://www.zingat.com//en/dogru-emlak-3-70933g,"Kayseri, Erkilet Osman Gazi",7,3,0 (536) 035 88 00
REALTY MAXI TURKİYE,https://www.zingat.com//en/realty-maxi-turkiye-61566g,"Antalya, Siteler",4,3,0 (542) 154 10 05
